item_id,sentence,with_question,question,answer1,answer2,question_delay
1,"The cat that the dog chased ran quickly across the busy street",true,"What animal was being chased?","Cat","Dog",0
2,"The student read the book carefully before the exam",false,"","","",0
3,"The teacher who helped the students stayed late at school",true,"Who stayed late at school?","Students","Teacher",2
4,"The bird flew over the tall mountain during sunset",false,"","","",0
5,"The doctor arrived immediately to treat the patient",true,"Who arrived immediately?","Doctor","Nurse",0
6,"The children played happily in the park all afternoon",false,"","","",0
7,"The scientist discovered a new species in the forest",true,"Where was the new species discovered?","Forest","Laboratory",1
8,"The baker made fresh bread early in the morning",false,"","","",0
9,"The musician played beautiful songs at the concert",true,"Where did the musician play?","Concert","Studio",0
10,"The artist painted colorful pictures in the gallery",false,"","","",0 